k,n_epochs,b,Q,wta,Fs,T_what,factor_of_stored,Coded_AS,Coded_%B,Ret_AS,Ret_%B,Will_S,Class_error
20,5,0.8,21,True,1,0.8,2,0.0055,0.0101,0.0057,0.0223,0.0314,0.0102
20,5,0.8,21,True,1,0.8,4,0.0055,0.0101,0.0058,0.0321,0.0532,0.0096
20,5,0.8,21,True,1,0.8,7,0.0055,0.0101,0.0061,0.0558,0.0777,0.0118
20,5,0.8,21,True,1,0.9,2,0.0028,0.005,0.003,0.0159,0.0094,0.0236
20,5,0.8,21,True,1,0.9,4,0.0028,0.005,0.0033,0.0283,0.0172,0.036
20,5,0.8,21,True,1,0.9,7,0.0028,0.005,0.0037,0.0385,0.0272,0.0417
20,5,0.8,21,True,1,0.95,2,0.0014,0.0029,0.0015,0.0082,0.0026,0.0312
20,5,0.8,21,True,1,0.95,4,0.0014,0.0029,0.0017,0.0132,0.0048,0.045
20,5,0.8,21,True,1,0.95,7,0.0014,0.0029,0.0021,0.0213,0.0079,0.0641
20,5,0.8,21,True,2,0.8,2,0.0074,0.012,0.0074,0.0107,0.0452,0.0
20,5,0.8,21,True,2,0.8,4,0.0074,0.012,0.0078,0.0147,0.0687,0.0026
20,5,0.8,21,True,2,0.8,7,0.0074,0.012,0.0087,0.0223,0.092,0.0075
20,5,0.8,21,True,2,0.9,2,0.0038,0.0061,0.0038,0.0057,0.0167,0.0
20,5,0.8,21,True,2,0.9,4,0.0038,0.0061,0.0039,0.0057,0.0289,0.0003
20,5,0.8,21,True,2,0.9,7,0.0038,0.0061,0.004,0.0104,0.0434,0.0027
20,5,0.8,21,True,2,0.95,2,0.002,0.0031,0.002,0.0029,0.0051,0.0
20,5,0.8,21,True,2,0.95,4,0.002,0.0031,0.002,0.0035,0.0095,0.0006
20,5,0.8,21,True,2,0.95,7,0.002,0.0031,0.002,0.0037,0.0154,0.0018
