k,n_epochs,b,Q,wta,Fs,T_what,factor_of_stored,Coded_AS,Coded_%B,Ret_AS,Ret_%B,Will_S,Class_error
20,5,0.9,21,True,1,0.8,1,0.0055,0.01,0.0054,0.0084,0.0185,0.0
20,5,0.9,21,True,1,0.8,3,0.0055,0.01,0.0065,1.0,0.0429,0.0094
20,5,0.9,21,True,1,0.8,5,0.0055,0.01,0.0063,1.0,0.0625,0.0097
20,5,0.9,21,True,1,0.8,6,0.0055,0.01,0.0065,1.0,0.0706,0.0094
20,5,0.9,21,True,1,0.8,7,0.0055,0.01,0.0066,1.0,0.0782,0.0108
20,5,0.9,21,True,1,0.85,1,0.0041,0.0071,0.0041,0.0062,0.0112,0.0
20,5,0.9,21,True,1,0.85,3,0.0041,0.0071,0.007,1.0,0.0271,0.0179
20,5,0.9,21,True,1,0.85,5,0.0041,0.0071,0.0061,1.0,0.0409,0.0171
20,5,0.9,21,True,1,0.85,6,0.0041,0.0071,0.0063,1.0,0.0468,0.0191
20,5,0.9,21,True,1,0.85,7,0.0041,0.0071,0.0062,1.0,0.0524,0.023
20,5,0.9,21,True,1,0.9,1,0.0028,0.0049,0.0028,0.0044,0.0053,0.0
20,5,0.9,21,True,1,0.9,3,0.0028,0.0049,0.0061,1.0,0.0134,0.0327
20,5,0.9,21,True,1,0.9,5,0.0028,0.0049,0.0058,1.0,0.021,0.0324
20,5,0.9,21,True,1,0.9,6,0.0028,0.0049,0.0062,1.0,0.0244,0.0351
20,5,0.9,21,True,1,0.9,7,0.0028,0.0049,0.0063,1.0,0.0276,0.0401
20,5,0.9,21,True,2,0.8,1,0.0074,0.0119,0.0073,0.0108,0.0279,0.0
20,5,0.9,21,True,2,0.8,3,0.0074,0.0119,0.0075,0.0113,0.0593,0.0009
20,5,0.9,21,True,2,0.8,5,0.0074,0.0119,0.0079,0.0159,0.0788,0.0026
20,5,0.9,21,True,2,0.8,6,0.0074,0.0119,0.0082,0.0176,0.0866,0.0043
20,5,0.9,21,True,2,0.8,7,0.0074,0.0119,0.0086,0.0188,0.0939,0.0056
20,5,0.9,21,True,2,0.85,1,0.0056,0.0092,0.0056,0.0082,0.0182,0.0
20,5,0.9,21,True,2,0.85,3,0.0056,0.0092,0.0057,0.0096,0.0422,0.0
20,5,0.9,21,True,2,0.85,5,0.0056,0.0092,0.0058,0.0144,0.0584,0.0023
20,5,0.9,21,True,2,0.85,6,0.0056,0.0092,0.006,0.016,0.0651,0.0047
20,5,0.9,21,True,2,0.85,7,0.0056,0.0092,0.0061,0.0169,0.0715,0.0051
20,5,0.9,21,True,2,0.9,1,0.0038,0.0061,0.0038,0.0057,0.0095,0.0
20,5,0.9,21,True,2,0.9,3,0.0038,0.0061,0.0038,0.0057,0.0236,0.0
20,5,0.9,21,True,2,0.9,5,0.0038,0.0061,0.0039,0.0065,0.0345,0.0003
20,5,0.9,21,True,2,0.9,6,0.0038,0.0061,0.0039,0.0094,0.0393,0.0006
20,5,0.9,21,True,2,0.9,7,0.0038,0.0061,0.004,0.0108,0.044,0.002
